,index,pbratio,binder_con,defoamer,final_temp,viscosity,coating_speed,Gap,lab_temperature,lab_humidity,thickness1,thickness2,thickness3,thickness4,thickness5,average_thickness,sheet_thickness,standard_deviation,standard_deviation2
index,1.0,-0.24886436011152593,0.3103960409009499,0.3801608142096789,-0.44623457861205534,-0.04342277130852131,-0.5074682960609315,0.35671441566744333,-0.5543588308436511,-0.6549092285523778,0.09273128857016616,0.028768832446975035,0.004615259730293117,-0.06636249733414741,0.003006763935856994,0.014178801524932104,0.014178801524932104,-0.3325300076930587,-0.38658120101499277
pbratio,-0.24886436011152593,1.0,-0.22256362963020954,-0.17320502968499107,-0.13695756750248678,-0.1832728566259537,0.2066140577959809,-0.08885493067645274,0.2083374075345547,0.22261828031294043,-0.06083604137863627,-0.030438463934380634,-0.026862942643655033,-0.013179675472741799,-0.02107630209908269,-0.03230019487641295,-0.03230019487641298,0.1267274308276702,0.1347102307086779
binder_con,0.3103960409009499,-0.22256362963020954,1.0,0.08374078335189958,0.19037082974597577,0.4103709983108623,-0.28719325508676036,-0.006500433208836322,0.06466543983898151,-0.2315631032389702,-0.17611996513872735,-0.1675602403597019,-0.21545064165652886,-0.2380091090810551,-0.20242538018301517,-0.2108781831903569,-0.21087818319035684,-0.2152042500709258,-0.23072442472490334
defoamer,0.3801608142096789,-0.17320502968499107,0.08374078335189958,1.0,0.09544952907770651,-0.31721386578310395,-0.14399506998474096,0.058453276669541095,-0.4496850714132901,-0.36280280799260056,-0.17451951043020303,-0.15945045796928706,-0.19096328132165122,-0.21757145593487123,-0.18014158377894546,-0.19473086173230816,-0.19473086173230814,-0.11959517230249199,-0.12385712584862565
final_temp,-0.44623457861205534,-0.13695756750248678,0.19037082974597577,0.09544952907770651,1.0,0.17922544680568486,0.11903599679905731,-0.1642309138218327,0.1410047838723765,0.0336230011266201,-0.017770338047203106,0.01572406370308966,0.021432966083011696,0.029245848213431888,0.00921940636338568,0.012560741467493336,0.012560741467493329,0.12983155971768884,0.14933801522409348
viscosity,-0.04342277130852131,-0.1832728566259537,0.4103709983108623,-0.31721386578310395,0.17922544680568486,1.0,-0.06608553228295339,-0.15404017021706748,0.3082244487935054,0.18458481755801978,0.30181923362742075,0.3157051841264569,0.27287435626338685,0.21288736043058507,0.29114937946578046,0.29825443225033266,0.2982544322503327,0.0926216018874895,0.01627673884699096
coating_speed,-0.5074682960609315,0.2066140577959809,-0.28719325508676036,-0.14399506998474096,0.11903599679905731,-0.06608553228295339,1.0,-0.3351889601254692,0.13536707202656822,0.4970915538467952,-0.11442907668116857,-0.04892130317801038,0.08341872209679056,0.10814209485569068,-0.013929994727939855,0.0011577178021518026,0.0011577178021517883,0.46594478026955266,0.6058376154458618
Gap,0.35671441566744333,-0.08885493067645274,-0.006500433208836322,0.058453276669541095,-0.1642309138218327,-0.15404017021706748,-0.3351889601254692,1.0,-0.30991928455889917,-0.3096645734870878,0.6153180030770748,0.5535882623721505,0.5963828449323613,0.6070069871841411,0.624412082450447,0.6345030203943944,0.6345030203943943,0.14460467480287453,0.07966240382240068
lab_temperature,-0.5543588308436511,0.2083374075345547,0.06466543983898151,-0.4496850714132901,0.1410047838723765,0.3082244487935054,0.13536707202656822,-0.30991928455889917,1.0,0.5447849530125418,-0.02218234276025186,-0.019848972507583103,-0.03916316409473002,-0.008971177282268478,-0.005150802477638115,-0.02048678378870784,-0.020486783788707833,0.006301147975732764,-0.009491938706623494
lab_humidity,-0.6549092285523778,0.22261828031294043,-0.2315631032389702,-0.36280280799260056,0.0336230011266201,0.18458481755801978,0.4970915538467952,-0.3096645734870878,0.5447849530125418,1.0,-0.03604015455789639,0.031523290741148936,0.03914570746130633,0.08143323862745602,0.05350143059474984,0.035990066221250276,0.035990066221250255,0.3397309777039394,0.36756260801498425
